City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Manokwari,94,ID,1575003286,73,-0.87,134.08,81,1.87
Vaini,40,IN,1575003442,73,15.34,74.49,77,3.1
Ossora,100,RU,1575003442,77,59.24,163.07,16,10.14
Maniitsoq,72,GL,1575003443,87,65.42,-52.9,26,5.82
Ust-Nera,100,RU,1575003443,99,64.57,143.24,-32,1.22
La Ronge,90,CA,1575003444,73,55.1,-105.3,20,4.1
Arraial do Cabo,100,BR,1575003444,90,-22.97,-42.02,73,7.77
Hasaki,20,JP,1575003444,42,35.73,140.83,50,4.1
Coquimbo,40,CL,1575003444,93,-29.95,-71.34,56,3.1
Carnarvon,92,ZA,1575003445,19,-30.97,22.13,79,6.88
Port Lincoln,100,AU,1575003445,77,-34.72,135.86,58,5.25
North Myrtle Beach,1,US,1575003446,75,33.83,-78.68,52,2.87
Cooma,40,AU,1575003446,10,-36.24,149.13,81,7.7
Saldanha,97,PT,1575003446,98,41.42,-6.55,51,1.69
Panzhihua,0,CN,1575003447,50,26.59,101.72,65,1.23
Hammerfest,90,NO,1575003447,92,70.66,23.68,25,7.2
Makinsk,62,KZ,1575003447,78,52.63,70.42,12,5.21
Severo-Kurilsk,94,RU,1575003447,80,50.68,156.12,21,14.26
Tiksi,58,RU,1575003447,87,71.64,128.87,-15,2.23
Griffith,44,AU,1575003447,8,-34.29,146.06,97,6.7
Nikolskoye,90,RU,1575003448,90,59.7,30.79,34,4.0
Hamilton,90,CA,1575003309,79,43.26,-79.87,32,4.1
Cockburn Town,29,TC,1575003448,64,21.46,-71.14,78,4.38
Lagoa,2,PT,1575003449,100,37.14,-8.45,57,2.1
Praya,75,ID,1575003449,59,-8.71,116.27,92,5.7
Qaqortoq,0,GL,1575003454,48,60.72,-46.03,21,1.5
Saint Augustine,20,TT,1575003455,94,10.65,-61.4,77,2.22
Iqaluit,90,CA,1575003455,66,63.75,-68.52,12,5.1
Mariental,40,BR,1575003457,93,-25.72,-49.65,56,3.1
Malkapur,7,IN,1575003457,39,20.89,76.2,83,2.87
Shelburne,90,CA,1575003457,73,44.08,-80.2,29,2.1
Rudsar,75,IR,1575003458,93,37.14,50.29,56,1.01
Aykhal,90,RU,1575003458,84,65.95,111.51,3,5.0
Ishigaki,75,JP,1575003459,64,24.34,124.16,75,7.7
Shingu,20,JP,1575003459,33,33.72,135.99,57,4.6
Los Llanos de Aridane,75,ES,1575003459,72,28.66,-17.92,68,4.6
Mujiayingzi,62,CN,1575003459,13,42.12,118.78,27,2.91
Kavaratti,75,IN,1575003459,83,10.57,72.64,84,2.6
Shetpe,100,KZ,1575003460,90,44.14,52.16,34,8.52
Salalah,40,OM,1575003460,57,17.01,54.1,79,5.1
Egvekinot,96,RU,1575003460,98,66.32,-179.17,1,0.7
Berlevag,90,NO,1575003460,86,70.86,29.09,27,1.5
Nemuro,20,JP,1575003461,48,43.32,145.57,32,3.1
Arlit,0,NE,1575003462,17,18.74,7.39,75,4.03
Pearl Lagoon,100,NI,1575003462,81,12.34,-83.67,82,8.25
Verkhoyansk,25,RU,1575003463,74,67.55,133.39,-21,1.76
Praia da Vitoria,20,PT,1575003463,88,38.73,-27.07,66,7.68
Chumikan,50,RU,1575003463,64,54.72,135.31,4,5.42
Diamantina,100,BR,1575003463,95,-18.24,-43.6,67,0.43
Calbuco,90,CL,1575003464,87,-41.77,-73.13,50,3.6
Hithadhoo,100,MV,1575003464,78,-0.6,73.08,82,3.76
Georgetown,20,GY,1575003464,100,6.8,-58.16,77,1.0
San Juan,0,AR,1575003464,38,-31.54,-68.53,78,3.3
Yar,85,RU,1575003465,89,58.24,52.11,22,6.49
Lorengau,94,PG,1575003465,65,-2.02,147.27,85,2.87
Sao Filipe,93,CV,1575003467,83,14.9,-24.5,72,6.14
Port Alfred,48,ZA,1575003467,91,-33.59,26.89,70,0.89
Samarai,85,PG,1575003467,93,-10.62,150.67,78,3.09
Chokurdakh,61,RU,1575003467,95,70.62,147.9,-21,4.29
Kahului,40,US,1575003469,51,20.89,-156.47,81,2.6
Pasni,0,PK,1575003470,16,25.26,63.48,75,3.41
Derby,59,GB,1575003417,100,52.92,-1.48,37,2.6
Vila Franca do Campo,40,PT,1575003471,88,37.72,-25.43,66,6.7
Ribeira Grande,87,PT,1575003471,92,38.52,-28.7,63,5.57
Ixtlahuacan del Rio,20,MX,1575003472,67,20.87,-103.25,59,1.87
Kloulklubed,75,PW,1575003472,70,7.04,134.26,88,6.2
Port Hedland,0,AU,1575003472,59,-20.31,118.58,92,6.7
Arucas,20,ES,1575003472,77,28.12,-15.52,66,6.7
Kamyshlov,42,RU,1575003473,80,56.85,62.71,22,3.41
Beyneu,100,KZ,1575003473,56,45.32,55.19,37,9.4
Carros,0,FR,1575003473,54,43.78,7.19,57,3.1
Mikhaylovka,87,RU,1575003479,89,52.96,103.29,9,1.76
Tulum,5,MX,1575003480,88,20.21,-87.46,78,1.5
Baheri,0,IN,1575003480,36,28.77,79.5,78,2.96
Saint-Philippe,90,CA,1575003480,71,45.36,-73.48,32,2.1
Ilhabela,100,BR,1575003481,78,-23.78,-45.36,70,0.4
Nouadhibou,75,MR,1575003481,88,20.93,-17.03,65,3.1
Buala,15,SB,1575003481,72,-8.15,159.59,83,2.4
Tasiilaq,96,GL,1575003481,73,65.61,-37.64,25,6.2
Sar-e Pul,0,AF,1575003481,49,36.22,65.93,43,1.02
Severomorsk,75,RU,1575003482,92,69.07,33.42,23,2.0
Nizwa,0,OM,1575003426,35,22.93,57.53,68,0.38
Aracati,77,BR,1575003482,75,-4.56,-37.77,79,2.92
Salinopolis,92,BR,1575003482,79,-0.61,-47.36,82,7.54
Polson,1,US,1575003482,66,47.69,-114.16,16,3.1
Puerto Varas,90,CL,1575003483,87,-41.32,-72.98,50,3.6
Obo,18,CF,1575003483,76,5.39,26.49,77,1.14
Lodja,83,CD,1575003483,81,-3.52,23.6,75,0.15
Ancud,77,CL,1575003483,93,-41.87,-73.83,48,2.1
Nova Ushytsya,100,UA,1575003484,97,48.84,27.27,41,2.27
Clyde River,1,CA,1575003484,91,70.47,-68.59,-7,1.0
Aksarka,7,RU,1575003484,90,66.56,67.8,-9,4.84
Howard Springs,20,AU,1575003484,55,-12.5,131.05,96,5.7
Lubango,65,AO,1575003484,77,-14.92,13.49,65,2.01
Comodoro Rivadavia,100,AR,1575003485,45,-45.87,-67.48,63,7.2
Marzuq,100,YE,1575003485,39,14.4,46.47,67,1.33
Jawhar,16,IN,1575003485,39,19.91,73.23,89,1.62
Luwuk,100,ID,1575003486,72,-0.95,122.79,85,4.12
Isangel,75,VU,1575003486,51,-19.55,169.27,86,5.1
Manta,100,RO,1575003237,95,45.1,24.1,45,2.35
Mar del Plata,100,AR,1575003486,47,-46.43,-67.52,57,9.74
Palmer,75,AU,1575003486,67,-34.85,139.16,66,4.1
Ibra,0,OM,1575003487,23,22.69,58.55,74,2.03
Oyek,90,RU,1575003487,84,52.59,104.46,7,2.0
Kalabo,79,ZM,1575003487,73,-15.0,22.67,75,2.09
Jalu,0,LY,1575003487,68,29.03,21.55,60,2.51
Krasnorechenskiy,0,RU,1575003487,71,44.63,135.35,12,3.7
Senanga,92,ZM,1575003488,65,-16.1,23.3,77,2.99
Escanaba,90,US,1575003488,86,45.75,-87.06,30,2.6
Kajaani,90,FI,1575003488,96,64.22,27.73,34,4.1
Souillac,36,FR,1575003488,93,45.6,-0.6,53,2.6
Vestmannaeyjar,62,IS,1575003488,68,63.44,-20.27,36,4.49
Kotovo,100,RU,1575003489,92,50.32,44.8,29,5.71
Sorong,50,ID,1575003489,50,-0.86,131.25,92,2.85
Sandpoint,1,US,1575003385,45,48.28,-116.55,23,5.7
Dawson Creek,1,CA,1575003490,77,55.76,-120.23,7,3.6
Riviere-au-Renard,90,CA,1575003495,74,49.0,-64.4,34,4.6
Mandalgovi,85,MN,1575003495,36,45.76,106.27,21,5.54
Nautanwa,0,NP,1575003495,43,27.43,83.42,79,1.24
Qasigiannguit,100,GL,1575003495,45,68.82,-51.19,25,5.7
Auki,0,NG,1575003495,21,12.18,6.51,69,4.43
Mahanoro,33,MG,1575003496,78,-19.9,48.8,79,2.87
Viani,100,CO,1575003496,87,5.76,-73.99,66,1.47
Pangnirtung,100,CA,1575003496,95,66.15,-65.72,3,4.29
Plouzane,4,FR,1575003497,100,48.38,-4.62,49,1.5
Coihaique,20,CL,1575003497,75,-45.58,-72.07,47,1.0
Piacabucu,8,BR,1575003498,84,-10.41,-36.43,75,3.85
Leshukonskoye,100,RU,1575003499,89,64.9,45.76,29,5.56
Kurilsk,100,RU,1575003500,84,45.23,147.88,28,5.9
Santa Isabel do Rio Negro,98,BR,1575003500,96,-0.41,-65.02,74,0.07
Geraldton,90,CA,1575003500,92,49.72,-86.95,16,1.5
Cherskiy,52,RU,1575003500,90,68.75,161.3,-22,2.93
George,20,MW,1575003501,83,-15.35,34.83,74,2.1
Taunggyi,0,MM,1575003501,45,20.78,97.03,79,2.01
Talcahuano,90,CL,1575003501,87,-36.72,-73.12,57,4.1
Cabo San Lucas,40,MX,1575003420,73,22.89,-109.91,75,2.6
Narrabri,94,AU,1575003502,20,-30.33,149.78,95,5.1
Nikitinskiy,75,RU,1575003502,87,45.0,37.87,56,6.0
Sambava,100,MG,1575003503,52,-14.27,50.17,87,1.81
Noumea,0,NC,1575003503,45,-22.28,166.46,88,9.3
Deputatskiy,0,RU,1575003504,84,69.3,139.9,-23,2.38
Tsimlyansk,95,RU,1575003506,94,47.65,42.1,43,3.24
Itupiranga,88,BR,1575003506,100,-5.13,-49.33,79,0.5
Sharan,0,AF,1575003507,32,33.15,68.78,34,2.12
Banda Aceh,85,ID,1575003303,61,5.56,95.32,88,2.69
Metro,78,ID,1575003508,39,-5.11,105.31,94,3.0
Yellowknife,90,CA,1575003508,85,62.45,-114.38,22,7.7
Kuldiga,90,LV,1575003508,93,56.97,21.96,45,4.1
Kavieng,55,PG,1575003509,64,-2.57,150.8,85,0.33
Sefophe,18,BW,1575003510,60,-22.18,27.97,70,4.11
Ouesso,0,CG,1575003268,79,1.61,16.05,74,0.26
Black River,20,JM,1575003510,78,18.03,-77.85,79,1.0
Bouloupari,2,NC,1575003510,45,-21.87,166.05,88,9.3
Dongfeng,0,CN,1575003511,64,42.67,125.53,18,0.75
Sucre,87,BO,1575003511,92,-19.05,-65.26,52,1.9
Mudgee,56,AU,1575003511,9,-32.6,149.59,97,8.2
Totness,1,US,1575003511,61,33.74,-80.8,52,3.1
Kishi,0,NG,1575003511,34,9.08,3.85,70,0.62
Hirara,20,JP,1575003512,53,24.8,125.28,77,8.7
Kiama,32,AU,1575003517,51,-34.67,150.86,88,7.2
Mantenopolis,83,BR,1575003517,98,-18.86,-41.12,68,1.68
Vardo,1,US,1575003518,77,39.62,-77.74,41,4.1
Sinop,77,TR,1575003518,58,42.03,35.15,58,2.79
Kaeo,0,NZ,1575003518,75,-35.1,173.78,69,2.68
Maceio,20,BR,1575003519,94,-9.67,-35.74,72,2.6
Luziania,40,BR,1575003520,88,-16.25,-47.95,72,1.5
Kutum,0,SD,1575003520,27,14.2,24.66,64,3.48
Superior,1,US,1575003520,92,39.95,-105.17,33,3.1
Katsuura,20,JP,1575003521,34,33.93,134.5,58,4.6
Cayenne,20,GF,1575003521,94,4.94,-52.33,75,1.55
Taltal,62,CL,1575003522,80,-25.41,-70.49,57,0.35
Sorland,40,NO,1575003522,85,67.67,12.69,20,2.1
Varca,20,IN,1575003523,58,15.22,73.92,86,4.6
Portland,1,US,1575003362,64,43.66,-70.25,36,8.2
Daphne,1,US,1575003523,76,30.6,-87.9,59,1.5
Conakry,1,GN,1575003393,85,9.52,-13.7,78,2.02
Kabinda,83,CD,1575003525,88,-6.14,24.49,74,0.86
Omsukchan,100,RU,1575003525,98,62.53,155.8,-21,3.26
Puerto Narino,75,CO,1575003526,100,-3.77,-70.38,75,0.46
Blomberg,20,DE,1575003526,80,51.94,9.09,43,6.2
Komsomolskiy,62,RU,1575003526,80,67.55,63.78,0,3.14
Stokmarknes,87,NO,1575003526,73,68.56,14.91,25,3.1
Faanui,98,PF,1575003526,79,-16.48,-151.75,82,3.55
Talnakh,75,RU,1575003526,76,69.49,88.39,-11,11.0
Sommerda,75,DE,1575003527,86,51.15,11.1,45,8.7
Vila Velha,40,BR,1575003527,78,-3.71,-38.6,86,4.6
Shache,36,CN,1575003527,68,38.42,77.24,42,1.35
Kamaishi,75,JP,1575003527,51,39.28,141.86,39,2.6
Rogovatoye,100,RU,1575003527,96,51.23,38.38,37,4.56
Husavik,96,CA,1575003528,90,50.56,-96.99,19,1.34
Launceston,75,AU,1575003329,40,-41.43,147.14,68,8.2
Norman Wells,40,CA,1575003528,84,65.28,-126.83,5,1.5
Ewa Beach,40,US,1575003428,61,21.32,-158.01,81,1.5
Placido de Castro,100,BR,1575003529,99,-10.34,-67.19,72,0.81
Newport,75,GB,1575003529,100,51.59,-3.0,44,2.6
Bartica,20,GY,1575003529,100,6.41,-58.62,77,1.0
Tautira,75,PF,1575003529,83,-17.73,-149.15,82,5.7
Kristianstad,97,SE,1575003529,86,56.03,14.16,41,4.1
Exmouth,0,AU,1575003530,27,-21.93,114.13,99,6.2
Milkovo,20,BG,1575003530,87,41.53,24.68,57,3.6
Klamath Falls,1,US,1575003525,79,42.22,-121.78,25,2.6
Makakilo City,40,US,1575003530,61,21.35,-158.09,81,1.5
Victoria,75,BN,1575003512,70,5.28,115.24,90,1.5
Strezhevoy,20,RU,1575003530,92,60.73,77.6,7,1.0
Plettenberg Bay,67,ZA,1575003536,56,-34.05,23.37,73,3.91
Bauta,20,CU,1575003536,100,22.98,-82.55,63,1.0
Ballymena,40,GB,1575003536,71,54.87,-6.28,36,1.0
Osorno,76,CL,1575003536,98,-40.57,-73.14,45,1.8
Nynashamn,90,SE,1575003537,96,58.9,17.95,36,3.6
Marawi,100,PH,1575003537,88,8.0,124.29,78,0.89
Madimba,75,CM,1575003537,94,4.42,9.93,79,0.5
Taguatinga,40,BR,1575003537,88,-15.83,-48.06,72,1.5
Meulaboh,44,ID,1575003537,75,4.14,96.13,82,1.34
Longyearbyen,71,NO,1575003538,64,78.22,15.63,-4,12.3
Rocha,0,UY,1575003538,70,-34.48,-54.34,59,3.2
Trairi,91,BR,1575003476,77,-3.28,-39.27,78,2.88
Sonoita,20,US,1575003538,62,31.68,-110.66,63,13.9
Taoudenni,64,ML,1575003539,28,22.68,-3.98,63,2.86
Simao,0,CN,1575003539,46,22.76,100.79,72,2.84
Hobyo,100,SO,1575003539,56,5.35,48.53,79,6.35
Molteno,0,ZA,1575003540,22,-31.4,26.36,79,11.8
Gigmoto,82,PH,1575003540,75,13.78,124.39,82,11.69
Killam,98,CA,1575003541,84,52.79,-111.86,10,0.45
Banjar,79,ID,1575003541,55,-7.37,108.54,89,3.87
Xingcheng,17,CN,1575003541,24,40.62,120.71,33,2.33
Havelock,1,US,1575003542,57,34.88,-76.9,48,5.7
Scarborough,72,GB,1575003543,93,54.28,-0.41,40,4.6
Dongsheng,100,CN,1575003543,58,29.72,112.52,50,0.74
Grand Gaube,40,MU,1575003543,74,-20.01,57.66,83,1.5
Padang,30,ID,1575003543,65,-0.92,100.36,83,1.65
San Patricio,26,PY,1575003544,67,-26.98,-56.83,63,2.49
Kieta,1,PG,1575003544,71,-6.22,155.63,84,2.81
Abnub,0,EG,1575003544,71,27.27,31.15,57,2.1
Libenge,94,CD,1575003545,79,3.65,18.64,76,0.67
General Roca,15,AR,1575003545,39,-39.03,-67.58,63,3.1
Sohna,3,IN,1575003546,5,28.25,77.07,72,2.65
Nkhotakota,100,MW,1575003548,72,-12.93,34.3,79,3.27
Jiuquan,100,CN,1575003549,87,39.73,98.49,20,2.04
Yanam,20,IN,1575003549,55,16.73,82.22,86,3.1
Kununurra,77,AU,1575003549,21,-15.77,128.74,106,2.1
Port Elizabeth,1,US,1575003549,69,39.31,-74.98,41,4.1
Kazaki,98,RU,1575003549,97,52.62,38.27,34,5.26
Bristol,75,GB,1575003497,100,51.45,-2.6,44,2.6
Peniche,75,PT,1575003550,93,39.36,-9.38,63,5.1
Gazojak,17,TM,1575003550,46,41.19,61.4,37,5.31
Zirl,75,AT,1575003550,93,47.27,11.24,43,1.0
Diosig,90,RO,1575003551,100,47.31,22.0,43,2.6
Ostrovnoy,100,RU,1575003557,97,68.05,39.51,33,6.5
Rome,40,IT,1575002971,87,41.89,12.48,58,2.1
Ayan,74,IR,1575003564,69,38.23,44.7,35,1.79
Waipawa,32,NZ,1575003587,56,-39.94,176.59,71,4.05
Hambantota,75,LK,1575003588,94,6.12,81.12,83,3.1
Nilagiri,0,IN,1575003588,46,21.46,86.77,83,2.2
Solnechnyy,1,RU,1575003589,91,50.72,136.64,2,1.84
Kushima,20,JP,1575003589,47,31.5,131.29,59,2.6
Harnosand,100,SE,1575003590,85,62.63,17.94,24,2.6
Santa Rosa,63,AR,1575003594,69,-36.62,-64.29,63,2.42
Poum,75,MK,1575003596,76,41.28,20.71,50,5.1
Belaya Gora,60,RU,1575003596,83,68.54,146.19,-19,3.38
Port Hardy,20,CA,1575003596,92,50.7,-127.42,25,1.5
Muros,40,ES,1575003596,100,42.77,-9.06,56,1.5
Eureka,75,US,1575003580,100,40.8,-124.16,36,3.1
Rantoul,90,US,1575003597,85,40.31,-88.16,36,1.5
Anadyr,40,RU,1575003597,85,64.73,177.51,23,14.0
Yulara,0,AU,1575003597,18,-25.24,130.99,97,2.6
Ipanguacu,5,BR,1575003598,92,-5.5,-36.85,71,3.18
Barra do Corda,25,BR,1575003598,84,-5.5,-45.25,74,1.91
Guarapari,75,BR,1575003598,88,-20.67,-40.5,77,3.1
Hohhot,75,CN,1575003599,80,40.81,111.65,30,4.0
Santiago,95,PH,1575003183,89,16.69,121.54,73,3.39
Dondo,20,MZ,1575003599,88,-19.62,34.74,75,1.5
Camacupa,100,AO,1575003600,97,-12.02,17.48,65,0.36
Bermeo,90,ES,1575003601,100,43.42,-2.72,55,1.5
Alekseyevsk,54,RU,1575003601,91,57.84,108.35,6,3.49
Bambous Virieux,40,MU,1575003602,74,-20.34,57.76,83,1.5
Ternate,40,PH,1575003602,49,14.29,120.72,90,7.2
Nome,90,US,1575003603,94,30.04,-94.42,69,3.6
Gamba,0,CN,1575003604,33,28.28,88.52,23,3.1
Goundi,24,TD,1575003606,35,9.36,17.37,76,1.48
Namibe,78,AO,1575003607,82,-15.19,12.15,73,4.12
Matay,0,EG,1575003607,70,28.42,30.79,62,3.03
Mezen,100,RU,1575003608,97,65.85,44.24,32,7.27
Muhos,90,FI,1575003608,92,64.81,26.0,25,3.6
East Wenatchee Bench,20,US,1575003608,62,47.43,-120.28,25,2.6
Constitucion,95,MX,1575003609,76,23.99,-104.67,55,1.79
Plymouth,90,GB,1575003419,93,50.37,-4.14,47,3.6
Suileng,0,CN,1575003609,37,47.25,127.08,17,3.25
Port-Gentil,70,GA,1575003609,83,-0.72,8.78,80,4.18
Miandrivazo,64,MG,1575003609,42,-19.53,45.46,90,0.45
Fairbanks,90,US,1575003351,92,64.84,-147.72,29,0.83
Suzhou,100,CN,1575003610,58,31.3,120.58,59,3.65
Annan,10,CN,1575003610,58,27.51,119.05,54,2.59
Hofn,0,IS,1575003610,65,64.25,-15.21,40,4.79
Aranos,79,NA,1575003611,15,-24.14,19.11,83,5.36
Zalantun,0,CN,1575003616,41,48.0,122.72,18,0.52
Immokalee,1,US,1575003617,100,26.42,-81.42,70,2.1
Kirakira,9,SB,1575003617,82,-10.46,161.92,81,1.85
Adana,75,TR,1575003452,93,37.0,35.33,56,2.1
Alice Springs,75,AU,1575003617,12,-23.7,133.88,101,4.6
Weligama,99,LK,1575003618,60,5.97,80.42,89,3.82
Golden,1,US,1575003618,92,39.76,-105.22,37,3.1
Moranbah,66,AU,1575003618,17,-22.0,148.04,96,8.47
Chapais,90,CA,1575003618,85,49.78,-74.86,14,5.1
Brae,100,GB,1575003618,73,60.4,-1.35,38,8.7
Idenao,20,CM,1575003619,88,4.25,9.0,74,1.5
